FID	ID1	ID2	N_SNP	Z0	Phi	HetHet	IBS0	Kinship	Error
RP1	A_10	C_8	53190	1.000	0.0000	0.319	0.1050	0.0945	1
RP1	A_10	D_14	53190	1.000	0.0000	0.246	0.1108	0.0248	0.5
RP1	A_10	E_17	53190	1.000	0.0000	0.225	0.1064	0.0130	0
RP1	A_10	E_1	53190	1.000	0.0000	0.335	0.1189	0.0832	1
RP1	A_10	F_9	53190	0.000	0.2500	0.244	0.0000	0.2408	0
RP1	A_10	G_18	53190	1.000	0.0000	0.247	0.1160	0.0152	0
RP1	A_10	J_5	53190	1.000	0.0000	0.244	0.1121	0.0194	0
RP1	A_10	J_2	53190	1.000	0.0000	0.264	0.1176	0.0286	0.5
RP1	A_10	J_12	53190	1.000	0.0000	0.264	0.1169	0.0294	0.5
RP1	A_10	K_7	53190	0.000	0.2500	0.248	0.0000	0.2426	0
RP1	A_10	K_6	53190	1.000	0.0000	0.230	0.1007	0.0300	0.5
RP1	A_10	M_4	53190	1.000	0.0000	0.254	0.0952	0.0635	1
RP1	A_10	M_13	53190	1.000	0.0000	0.314	0.1332	0.0427	0.5
RP1	A_10	O_15	53190	1.000	0.0000	0.313	0.1274	0.0518	1
RP1	A_10	R_16	53190	1.000	0.0000	0.304	0.1271	0.0451	1
RP1	A_10	T_11	53190	1.000	0.0000	0.312	0.1226	0.0594	1
RP1	C_8	D_14	53190	1.000	0.0000	0.332	0.0728	0.1599	1
RP1	C_8	E_17	53190	1.000	0.0000	0.301	0.0949	0.0999	1
RP1	C_8	E_1	53190	1.000	0.0000	0.467	0.0423	0.2864	1
RP1	C_8	F_9	53190	0.000	0.2500	0.326	0.0000	0.2746	0
RP1	C_8	G_18	53190	1.000	0.0000	0.330	0.0736	0.1569	1
RP1	C_8	J_5	53190	1.000	0.0000	0.332	0.0713	0.1632	1
RP1	C_8	J_2	53190	1.000	0.0000	0.353	0.0790	0.1631	1
RP1	C_8	J_12	53190	1.000	0.0000	0.351	0.0752	0.1671	1
RP1	C_8	K_7	53190	0.000	0.2500	0.332	0.0000	0.2784	0
RP1	C_8	K_6	53190	1.000	0.0000	0.313	0.1207	0.0637	1
RP1	C_8	M_4	53190	1.000	0.0000	0.341	0.1076	0.1072	1
RP1	C_8	M_13	53190	1.000	0.0000	0.442	0.0545	0.2573	1
RP1	C_8	O_15	53190	1.000	0.0000	0.438	0.0516	0.2584	1
RP1	C_8	R_16	53190	1.000	0.0000	0.436	0.0525	0.2586	1
RP1	C_8	T_11	53190	1.000	0.0000	0.433	0.0642	0.2362	1
RP1	D_14	E_17	53190	1.000	0.0000	0.228	0.1095	0.0096	0
RP1	D_14	E_1	53190	1.000	0.0000	0.334	0.0635	0.1763	1
RP1	D_14	F_9	53190	1.000	0.0000	0.265	0.0991	0.0654	1
RP1	D_14	G_18	53190	0.500	0.1250	0.263	0.0727	0.1171	0
RP1	D_14	J_5	53190	0.500	0.1250	0.262	0.0840	0.0936	0
RP1	D_14	J_2	53190	1.000	0.0000	0.270	0.0908	0.0854	1
RP1	D_14	J_12	53190	1.000	0.0000	0.274	0.0978	0.0758	1
RP1	D_14	K_7	53190	1.000	0.0000	0.269	0.1030	0.0607	1
RP1	D_14	K_6	53190	1.000	0.0000	0.231	0.1167	-0.0025	0
RP1	D_14	M_4	53190	1.000	0.0000	0.256	0.1030	0.0495	1
RP1	D_14	M_13	53190	1.000	0.0000	0.312	0.0826	0.1303	1
RP1	D_14	O_15	53190	0.000	0.2500	0.311	0.0309	0.2199	0
RP1	D_14	R_16	53190	1.000	0.0000	0.310	0.0913	0.1145	1
RP1	D_14	T_11	53190	1.000	0.0000	0.313	0.0736	0.1472	1
RP1	E_17	E_1	53190	0.500	0.1250	0.300	0.0656	0.1496	0
RP1	E_17	F_9	53190	1.000	0.0000	0.241	0.1033	0.0348	0.5
RP1	E_17	G_18	53190	1.000	0.0000	0.230	0.1074	0.0157	0
RP1	E_17	J_5	53190	1.000	0.0000	0.231	0.1081	0.0156	0
RP1	E_17	J_2	53190	0.500	0.1250	0.244	0.0751	0.0949	0
RP1	E_17	J_12	53190	0.000	0.2500	0.255	0.0204	0.2163	0
RP1	E_17	K_7	53190	1.000	0.0000	0.244	0.1092	0.0258	0.5
RP1	E_17	K_6	53190	1.000	0.0000	0.216	0.1125	-0.0102	0
RP1	E_17	M_4	53190	0.500	0.1250	0.246	0.0594	0.1317	0
RP1	E_17	M_13	53190	1.000	0.0000	0.284	0.1045	0.0688	1
RP1	E_17	O_15	53190	1.000	0.0000	0.284	0.0988	0.0796	1
RP1	E_17	R_16	53190	1.000	0.0000	0.279	0.1064	0.0623	1
RP1	E_17	T_11	53190	1.000	0.0000	0.283	0.1047	0.0685	1
RP1	E_1	F_9	53190	1.000	0.0000	0.349	0.0816	0.1554	1
RP1	E_1	G_18	53190	1.000	0.0000	0.332	0.0590	0.1827	1
RP1	E_1	J_5	53190	1.000	0.0000	0.334	0.0719	0.1621	1
RP1	E_1	J_2	53190	0.000	0.2500	0.334	0.0000	0.2774	0
RP1	E_1	J_12	53190	0.000	0.2500	0.333	0.0000	0.2762	0
RP1	E_1	K_7	53190	1.000	0.0000	0.354	0.0739	0.1716	1
RP1	E_1	K_6	53190	1.000	0.0000	0.318	0.1260	0.0577	1
RP1	E_1	M_4	53190	1.000	0.0000	0.336	0.1080	0.1018	1
RP1	E_1	M_13	53190	1.000	0.0000	0.439	0.0410	0.2743	1
RP1	E_1	O_15	53190	1.000	0.0000	0.448	0.0427	0.2782	1
RP1	E_1	R_16	53190	1.000	0.0000	0.438	0.0617	0.2441	1
RP1	E_1	T_11	53190	1.000	0.0000	0.447	0.0418	0.2801	1
RP1	F_9	G_18	53190	1.000	0.0000	0.264	0.1028	0.0574	1
RP1	F_9	J_5	53190	1.000	0.0000	0.263	0.1024	0.0570	1
RP1	F_9	J_2	53190	1.000	0.0000	0.282	0.1089	0.0607	1
RP1	F_9	J_12	53190	1.000	0.0000	0.282	0.1058	0.0670	1
RP1	F_9	K_7	53190	0.250	0.2500	0.317	0.0453	0.2151	0
RP1	F_9	K_6	53190	1.000	0.0000	0.244	0.1145	0.0154	0
RP1	F_9	M_4	53190	1.000	0.0000	0.268	0.1044	0.0577	1
RP1	F_9	M_13	53190	1.000	0.0000	0.326	0.0964	0.1153	1
RP1	F_9	O_15	53190	1.000	0.0000	0.329	0.0891	0.1305	1
RP1	F_9	R_16	53190	1.000	0.0000	0.318	0.0906	0.1202	1
RP1	F_9	T_11	53190	1.000	0.0000	0.323	0.0924	0.1200	1
RP1	G_18	J_5	53190	0.500	0.1250	0.262	0.0822	0.0978	0
RP1	G_18	J_2	53190	1.000	0.0000	0.267	0.0901	0.0848	1
RP1	G_18	J_12	53190	1.000	0.0000	0.271	0.0932	0.0819	1
RP1	G_18	K_7	53190	1.000	0.0000	0.269	0.0956	0.0752	1
RP1	G_18	K_6	53190	1.000	0.0000	0.231	0.1176	-0.0041	0
RP1	G_18	M_4	53190	1.000	0.0000	0.256	0.1034	0.0482	1
RP1	G_18	M_13	53190	1.000	0.0000	0.314	0.0729	0.1485	1
RP1	G_18	O_15	53190	0.000	0.2500	0.311	0.0294	0.2230	0
RP1	G_18	R_16	53190	1.000	0.0000	0.308	0.0822	0.1285	1
RP1	G_18	T_11	53190	1.000	0.0000	0.311	0.0815	0.1317	1
RP1	J_5	J_2	53190	1.000	0.0000	0.269	0.1065	0.0547	1
RP1	J_5	J_12	53190	1.000	0.0000	0.274	0.0968	0.0776	1
RP1	J_5	K_7	53190	1.000	0.0000	0.266	0.0984	0.0669	1
RP1	J_5	K_6	53190	1.000	0.0000	0.233	0.1199	-0.0067	0
RP1	J_5	M_4	53190	1.000	0.0000	0.254	0.1078	0.0382	0.5
RP1	J_5	M_13	53190	1.000	0.0000	0.315	0.0754	0.1451	1
RP1	J_5	O_15	53190	0.000	0.2500	0.312	0.0271	0.2282	0
RP1	J_5	R_16	53190	1.000	0.0000	0.306	0.0763	0.1373	1
RP1	J_5	T_11	53190	1.000	0.0000	0.314	0.0827	0.1324	1
RP1	J_2	J_12	53190	0.250	0.2500	0.317	0.0435	0.2157	0
RP1	J_2	K_7	53190	1.000	0.0000	0.284	0.1079	0.0643	1
RP1	J_2	K_6	53190	1.000	0.0000	0.246	0.1173	0.0114	0
RP1	J_2	M_4	53190	0.000	0.2500	0.254	0.0000	0.2439	0
RP1	J_2	M_13	53190	1.000	0.0000	0.329	0.0859	0.1352	1
RP1	J_2	O_15	53190	1.000	0.0000	0.333	0.0864	0.1379	1
RP1	J_2	R_16	53190	1.000	0.0000	0.323	0.0870	0.1296	1
RP1	J_2	T_11	53190	1.000	0.0000	0.327	0.0708	0.1600	1
RP1	J_12	K_7	53190	1.000	0.0000	0.286	0.1004	0.0799	1
RP1	J_12	K_6	53190	1.000	0.0000	0.251	0.1178	0.0151	0
RP1	J_12	M_4	53190	0.000	0.2500	0.255	0.0000	0.2437	0
RP1	J_12	M_13	53190	1.000	0.0000	0.329	0.0777	0.1492	1
RP1	J_12	O_15	53190	1.000	0.0000	0.331	0.0747	0.1556	1
RP1	J_12	R_16	53190	1.000	0.0000	0.324	0.0898	0.1253	1
RP1	J_12	T_11	53190	1.000	0.0000	0.330	0.0799	0.1466	1
RP1	K_7	K_6	53190	1.000	0.0000	0.247	0.1189	0.0091	0
RP1	K_7	M_4	53190	1.000	0.0000	0.271	0.1073	0.0542	1
RP1	K_7	M_13	53190	1.000	0.0000	0.329	0.0880	0.1316	1
RP1	K_7	O_15	53190	1.000	0.0000	0.329	0.0899	0.1288	1
RP1	K_7	R_16	53190	1.000	0.0000	0.323	0.0901	0.1243	1
RP1	K_7	T_11	53190	1.000	0.0000	0.327	0.0892	0.1288	1
RP1	K_6	M_4	53190	1.000	0.0000	0.243	0.0943	0.0554	1
RP1	K_6	M_13	53190	1.000	0.0000	0.296	0.1384	0.0178	0
RP1	K_6	O_15	53190	1.000	0.0000	0.297	0.1351	0.0246	0.5
RP1	K_6	R_16	53190	1.000	0.0000	0.289	0.1361	0.0155	0
RP1	K_6	T_11	53190	1.000	0.0000	0.293	0.1284	0.0334	0.5
RP1	M_4	M_13	53190	1.000	0.0000	0.322	0.1214	0.0698	1
RP1	M_4	O_15	53190	1.000	0.0000	0.324	0.1200	0.0739	1
RP1	M_4	R_16	53190	1.000	0.0000	0.317	0.1227	0.0631	1
RP1	M_4	T_11	53190	1.000	0.0000	0.320	0.1155	0.0781	1
RP1	M_13	O_15	53190	1.000	0.0000	0.428	0.0573	0.2483	1
RP1	M_13	R_16	53190	1.000	0.0000	0.408	0.0550	0.2390	1
RP1	M_13	T_11	53190	1.000	0.0000	0.416	0.0658	0.2263	1
RP1	O_15	R_16	53190	1.000	0.0000	0.405	0.0607	0.2274	1
RP1	O_15	T_11	53190	1.000	0.0000	0.414	0.0608	0.2327	1
RP1	R_16	T_11	53190	1.000	0.0000	0.408	0.0768	0.2047	1
